"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2025","223.19","225.88","226.10","222.18","39.54M","-1.40%"
"07/15/2025","226.35","226.20","227.27","225.46","34.91M","0.29%"
"07/14/2025","225.69","225.07","226.66","224.24","35.70M","0.30%"
"07/11/2025","225.02","223.58","226.68","222.37","50.52M","1.24%"
"07/10/2025","222.26","221.55","222.79","219.70","30.37M","-0.13%"
"07/09/2025","222.54","221.07","224.29","220.47","38.16M","1.45%"
"07/08/2025","219.36","223.91","224.00","218.43","45.69M","-1.84%"
"07/07/2025","223.47","223.00","224.29","222.37","36.60M","0.03%"
"07/03/2025","223.41","221.82","224.01","221.36","29.63M","1.59%"
"07/02/2025","219.92","219.73","221.60","219.06","30.89M","-0.24%"
"07/01/2025","220.46","219.50","221.88","217.93","39.26M","0.49%"
"06/30/2025","219.39","223.52","223.82","219.12","58.89M","-1.75%"
"06/27/2025","223.30","219.92","223.30","216.74","119.22M","2.85%"
"06/26/2025","217.12","213.12","218.04","212.01","50.48M","2.42%"
"06/25/2025","211.99","214.62","216.03","211.11","31.76M","-0.37%"
"06/24/2025","212.77","212.13","214.34","211.04","38.38M","2.06%"
"06/23/2025","208.47","209.79","210.39","207.31","37.31M","-0.58%"
"06/20/2025","209.69","214.68","214.89","208.27","75.35M","-1.33%"
"06/18/2025","212.52","215.09","217.96","212.34","44.36M","-1.07%"
"06/17/2025","214.82","215.20","217.41","214.56","32.09M","-0.59%"
"06/16/2025","216.10","212.31","217.06","211.60","33.28M","1.89%"
"06/13/2025","212.10","209.96","214.05","209.62","29.34M","-0.53%"
"06/12/2025","213.24","211.78","213.58","211.33","27.64M","0.02%"
"06/11/2025","213.20","217.41","218.40","212.89","39.33M","-2.03%"
"06/10/2025","217.61","216.78","217.69","214.15","31.30M","0.29%"
"06/09/2025","216.98","214.75","217.85","212.88","38.10M","1.60%"
"06/06/2025","213.57","212.40","213.87","210.50","39.83M","2.72%"
"06/05/2025","207.91","209.55","212.81","207.56","51.98M","0.33%"
"06/04/2025","207.23","206.55","208.18","205.18","29.92M","0.74%"
